BacDive ID,Species,Genus,Family,Order,Class,Phylum,Domain,NCBI taxonomy ID,Cell shape,Cell length min (μm),Cell length max (μm),Cell width min (μm),Cell width max (μm),Cell volume min (μm³),Cell volume max (μm³),Average cell volume (μm³)
17007,Actinoallomurus amamiensis,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478109,rod-shaped,1.1,1.1,0.75,0.75,0.38,0.38,0.38
132110,Actinoallomurus caesius,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478115,rod-shaped,1.15,1.15,0.9,0.9,0.54,0.54,0.54
17008,Actinoallomurus coprocola,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478106,rod-shaped,1.1,1.1,0.75,0.75,0.38,0.38,0.38
17010,Actinoallomurus iriomotensis,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478107,rod-shaped,1.15,1.15,0.95,0.95,0.59,0.59,0.59
17011,Actinoallomurus luridus,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478111,rod-shaped,1.1,1.1,0.75,0.75,0.38,0.38,0.38
17012,Actinoallomurus purpureus,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478114,rod-shaped,1.1,1.1,0.75,0.75,0.38,0.38,0.38
17013,Actinoallomurus yoronensis,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478110,rod-shaped,1.1,1.1,0.65,0.65,0.29,0.29,0.29
144,Actinobaculum suis,Actinobaculum,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1657,rod-shaped,1,3,0.5,0.5,0.16,0.56,0.36
7795,Actinocatenispora thailandica,Actinocatenispora,Micromonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,227318,rod-shaped,0.5,1,0.3,0.4,0.03,0.11,0.07
132014,Actinocrinis puniceicyclus,Actinocrinis,Actinospicaceae,Catenulisporales,Actinobacteria,Actinobacteria,Bacteria,977794,filament-shaped,15,25,1,1.5,,,
16999,Actinomadura flavalba,Actinomadura,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,561175,rod-shaped,5,5,0.6,0.6,1.36,1.36,1.36
140372,Actinomyces gaoshouyii,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1960083,rod-shaped,1.1,1.6,0.4,0.6,0.12,0.4,0.26
166249,Actinomyces lilanjuaniae,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,2321394,rod-shaped,1,9,0.4,0.6,0.11,2.49,1.3
192,Actinomyces massiliensis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1167628,rod-shaped,0.5,1.7,0.35,0.74,0.04,0.63,0.335
159350,Actinomyces qiguomingii,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,2057800,rod-shaped,2.1,2.8,0.3,0.5,0.14,0.52,0.33
193,Actinomyces timonensis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,521393,rod-shaped,1,3.2,0.3,0.5,0.06,0.6,0.33
140287,Actinomyces vulturis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1857645,rod-shaped,1,1.3,0.5,0.8,0.16,0.52,0.34
196,Actinomyces weissii,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,675090,rod-shaped,6,6,1.25,1.25,6.85,6.85,6.85
24730,Actinopolyspora mzabensis,Actinopolyspora,Actinopolysporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,995066,rod-shaped,1.45,1.45,0.55,0.55,0.3,0.3,0.3
17634,Actinospica acidiphila,Actinospica,Actinospicaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,304899,rod-shaped,0.6,0.8,0.5,0.5,0.09,0.12,0.105
17635,Actinospica robiniae,Actinospica,Actinospicaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,479430,rod-shaped,1,1.2,0.6,0.6,0.23,0.28,0.255
133962,Actinotalea ferrariae,Actinotalea,Cellulomonadaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,948458,rod-shaped,1.15,1.15,0.45,0.45,0.16,0.16,0.16
158625,Actinotalea solisilvae,Actinotalea,Cellulomonadaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,NA,rod-shaped,1,1.2,0.6,0.8,0.23,0.47,0.35
133587,Adhaeribacter aerolatus,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,670289,rod-shaped,1.8,2.8,1,1.2,1.15,2.71,1.93
133589,Adhaeribacter aerophilus,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,670288,rod-shaped,2,4.3,0.9,1.1,1.08,3.74,2.41
3764,Adhaeribacter aquaticus,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,299567,rod-shaped,3.45,3.45,1.3,1.3,4,4,4
158784,Adhaeribacter swui,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,NA,rod-shaped,2,2.5,0.5,1,0.36,1.7,1.03
140958,Adhaeribacter terrae,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,1892554,rod-shaped,1.5,2.3,0.7,0.9,0.49,1.27,0.88
133455,Adhaeribacter terreus,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,529703,rod-shaped,1.5,1.5,0.4,0.4,0.17,0.17,0.17
22982,Adlercreutzia caecicola,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,747645,rod-shaped,1.5,1.5,0.5,0.5,0.26,0.26,0.26
3077,Adlercreutzia caecimuris,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,1235794,rod-shaped,2,2,0.5,0.5,0.36,0.36,0.36
3072,Adlercreutzia equolifaciens subsp. celatus,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,394340,rod-shaped,2.5,2.5,0.45,0.45,0.37,0.37,0.37
3073,Adlercreutzia equolifaciens subsp. equolifaciens,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,446660,ovoid-shaped,2.1,2.1,0.65,0.65,,,
3076,Adlercreutzia mucosicola,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,580026,rod-shaped,2,2,0.5,0.5,0.36,0.36,0.36
140913,Advenella alkanexedens,Advenella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,NA,coccus-shaped,0.6,0.8,0.6,0.8,0.11,0.27,0.19
383,Advenella kashmirensis,Advenella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,310575,coccus-shaped,1.4,1.4,1.05,1.05,0.61,0.61,0.61
384,Advenella mimigardefordensis,Advenella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1247726,ovoid-shaped,1.5,2,1.5,1.5,,,
160122,Aeoliella mucimassa,Aeoliella,Lacipirellulaceae,Pirellulales,Planctomycetia,Planctomycetes,Bacteria,2527972,other,1.1,1.7,0.6,0.8,,,
166411,Aequoribacter fuscus,Aequoribacter,Halieaceae,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,2518989,rod-shaped,1.1,2.8,0.6,0.8,0.25,1.27,0.76
140229,Aequorivita aquimaris,Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,1548749,rod-shaped,1.1,1.7,0.4,0.5,0.12,0.3,0.21
5479,Aequorivita capsosiphonis,Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,487317,rod-shaped,2.5,2.5,0.35,0.35,0.23,0.23,0.23
5477,Aequorivita sublithincola,Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,746697,filament-shaped,0.5,20,0.4,0.5,,,
24014,Aequorivita viscosa,Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,797419,rod-shaped,4.25,4.25,2,2,11.26,11.26,11.26
158560,Aeribacillus composti,Aeribacillus,Bacillaceae,Caryophanales,Bacilli,Firmicutes,Bacteria,NA,rod-shaped,1.5,5,0.5,0.6,0.26,1.36,0.81
1766,Aeriscardovia aeriphila,Aeriscardovia,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,218139,rod-shaped,1.15,1.15,0.75,0.75,0.4,0.4,0.4
11058,Aeromicrobium alkaliterrae,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,302168,coccus-shaped,1.25,1.25,1.25,1.25,1.02,1.02,1.02
168559,Aeromicrobium endophyticum,Aeromicrobium,Nocardioidaceae,Propionibacteriales,Actinomycetes,Actinomycetota,Bacteria,2292704,rod-shaped,0.9,2.8,0.9,1.2,0.38,2.71,1.545
11064,Aeromicrobium flavum,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,416568,rod-shaped,0.3,1.2,0.2,0.4,0.01,0.13,0.07
11062,Aeromicrobium ginsengisoli,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,363867,coccus-shaped,0.5,1.2,0.3,0.4,0.01,0.03,0.02
11066,Aeromicrobium halocynthiae,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,560557,rod-shaped,4.1,6,0.4,0.5,0.5,1.15,0.825
159668,Aeromicrobium lacus,Aeromicrobium,Nocardioidaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria,2233852,rod-shaped,1.1,1.4,0.5,0.6,0.18,0.34,0.26
11061,Aeromicrobium panaciterrae,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,363861,rod-shaped,1,1.5,0.2,0.4,0.03,0.17,0.1
11065,Aeromicrobium ponti,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,460257,rod-shaped,2.4,2.4,0.7,0.7,0.83,0.83,0.83
11063,Aeromicrobium tamlense,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,375541,rod-shaped,2.15,2.15,0.5,0.5,0.39,0.39,0.39
23547,Aeromonas australiensis,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1114880,rod-shaped,2.25,2.25,0.85,0.85,1.12,1.12,1.12
280,Aeromonas bivalvium,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,440079,coccus-shaped,0.5,2,0.3,1,0.01,0.52,0.265
283,Aeromonas fluvialis,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,591962,rod-shaped,3,3.5,0.6,0.7,0.79,1.26,1.025
262,Aeromonas molluscorum,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,271417,rod-shaped,1.2,2.2,0.5,1,0.2,1.47,0.835
288,Aeromonas rivuli,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,648794,rod-shaped,2,2.5,0.5,0.7,0.36,0.87,0.615
286,Aeromonas sanarellii,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,633415,rod-shaped,2.5,2.5,0.7,0.7,0.87,0.87,0.87
285,Aeromonas taiwanensis,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,633417,rod-shaped,1.8,2.5,0.8,1,0.77,1.7,1.235
159185,Aerosticca soli,Aerosticca,Rhodanobacteraceae,Lysobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,2010829,rod-shaped,2,5,0.8,0.8,0.87,2.38,1.625
437,Aestuariibacter halophilus,Aestuariibacter,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,226011,rod-shaped,1.2,1.8,0.5,0.6,0.2,0.45,0.325
438,Aestuariibacter salexigens,Aestuariibacter,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,226010,rod-shaped,1,1.8,0.4,0.6,0.11,0.45,0.28
133791,Aestuariibaculum suncheonense,Aestuariibaculum,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,1028745,rod-shaped,2.5,2.5,0.6,0.6,0.65,0.65,0.65
158658,Aestuariibius insulae,Aestuariibius,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,NA,rod-shaped,0.4,10,0.2,0.8,0.01,4.89,2.45
12671,Aestuariimicrobium kwangyangense,Aestuariimicrobium,Propionibacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,396389,coccus-shaped,0.8,1,0.8,1,0.27,0.52,0.395
158420,Aestuariimicrobium soli,Aestuariimicrobium,Propionibacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,2035834,rod-shaped,1.2,1.3,0.6,0.7,0.28,0.41,0.345
158355,Aestuariimonas insulae,Aestuariimonas,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,2045267,rod-shaped,0.5,10,0.2,0.6,0.01,2.77,1.39
160775,Aestuariivirga litoralis,Aestuariivirga,Aestuariivirgaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria,2650924,rod-shaped,1,1.8,0.7,0.9,0.3,0.95,0.625
131429,Aetherobacter fasciculatus,Aetherobacter,Polyangiaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria,888830,rod-shaped,2.9,6,1,1.3,2.02,7.39,4.705
130794,Aetherobacter rufus,Aetherobacter,Polyangiaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria,888831,rod-shaped,3,6,1,1.2,2.09,6.33,4.21
167386,Afifella aestuarii,Afifella,Afifellaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Bacteria,1909496,oval-shaped,1,2,0.5,0.7,,,
13876,Afifella pfennigii,Afifella,Afifellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,209897,rod-shaped,1,2,0.6,0.6,0.23,0.51,0.37
159752,Agaribacter flavus,Agaribacter,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1902781,rod-shaped,1.3,2,0.6,0.8,0.31,0.87,0.59
141009,Agaribacterium haliotis,Agaribacterium,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,NA,rod-shaped,1,1.5,0.7,0.7,0.3,0.49,0.395
