BacDive ID,Species,Genus,Family,Order,Class,Phylum,Domain,NCBI taxonomy ID,Cell shape,LengthMin,LengthMax,WidthMin,WidthMax,VolumeMin,VolumeMax,AvgVolume,GeoMeanVolume,SurfaceArea
159709,Acidicapsa dinghuensis,Acidicapsa,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria,2218256,rod-shaped,0.5,1.5,0.4,0.8,0.046076692,0.61994095,0.333008821,0.169011326,1.539059796
143,Acidicapsa ligni,Acidicapsa,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria,542300,rod-shaped,1,2,0.5,0.8,0.163624617,0.871268363,0.51744649,0.377572447,2.809925892
166169,Acidimangrovimonas sediminis,Acidimangrovimonas,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,2056283,rod-shaped,2,6,1.5,2.3,2.650718801,21.74322455,12.19697168,7.59178333,20.21389676
106,Acidimicrobium ferrooxidans,Acidimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,Bacteria,525909,rod-shaped,1,1.5,0.35,0.4,0.084986626,0.171740398,0.128363512,0.120812404,1.439658614
26,Acidiphilium cryptum,Acidiphilium,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,524,rod-shaped,0.6,0.8,0.3,0.4,0.035342917,0.083775804,0.059559361,0.054413981,0.753982237
158421,Acidipropionibacterium virtanenii,Acidipropionibacterium,Propionibacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,2057246,rod-shaped,1,5,0.7,0.7,0.29504791,1.83442831,1.06473811,0.735693033,4.917370312
82,Acidisoma sibiricum,Acidisoma,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,512383,coccus-shaped,1.4,3.1,0.7,1.2,0.35918876,2.337344934,1.348266847,0.916268535,2.638937829
81,Acidisoma tundrae,Acidisoma,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,512382,coccus-shaped,1.9,4.1,0.8,1.5,0.636696111,4.830198705,2.733447408,1.753672926,3.769911184
67,Acidisphaera rubrifaciens,Acidisphaera,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,50715,coccus-shaped,0.8,1.2,0.7,1,0.20525072,0.628318531,0.416784625,0.359113952,2.199114858
130138,Acidithiobacillus ferridurans,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Proteobacteria,Bacteria,1232575,rod-shaped,1.5,1.5,1.5,1.5,1.767145868,1.767145868,1.767145868,1.767145868,7.068583471
159192,Acidithiobacillus sulfuriphilus,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Proteobacteria,Bacteria,1867749,rod-shaped,1.5,2.5,0.5,0.5,0.261799388,0.458148929,0.359974158,0.346328037,3.041834007
133033,Acidobacterium ailaaui,Acidobacterium,Acidobacteriaceae,Actinomycetales,Acidobacteriia,Acidobacteria,Bacteria,1382359,rod-shaped,1.3,1.7,0.7,0.9,0.41050144,0.890641517,0.650571479,0.604656618,3.706946211
133532,Acidocella aluminiidurans,Acidocella,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,472056,rod-shaped,1.4,1.4,0.3,0.3,0.091891585,0.091891585,0.091891585,0.091891585,1.319468915
158255,Acidocella aquatica,Acidocella,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,1922313,rod-shaped,1,2.8,0.6,0.8,0.226194671,1.273392222,0.749793447,0.53668849,3.642080218
2903,Acidovorax caeni,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,343013,rod-shaped,1.8,1.8,0.9,0.9,0.954258769,0.954258769,0.954258769,0.954258769,5.089380099
158808,Acidovorax kalamii,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,,rod-shaped,2,2.8,0.71,0.76,0.698137548,1.155285094,0.926711321,0.89808012,5.461096574
2905,Acidovorax radicis,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,999386,rod-shaped,1.5,2,0.3,0.5,0.098960169,0.359974158,0.229467163,0.188740837,2.107444419
2904,Acidovorax soli,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,592050,rod-shaped,1.3,1.3,0.5,0.5,0.22252948,0.22252948,0.22252948,0.22252948,2.042035225
23868,Acidovorax wautersii,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1177982,rod-shaped,3,3,0.45,0.45,0.453272915,0.453272915,0.453272915,0.453272915,4.241150082
130449,Acinetobacter boissieri,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1219383,ovoid-shaped,1.5,1.5,1.5,1.5,1.767145868,1.767145868,1.767145868,1.767145868,7.068583471
140606,Acinetobacter defluvii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1871111,coccus-shaped,0.7,1,0.6,0.9,0.131946891,0.424115008,0.27803095,0.236560049,1.696460033
140912,Acinetobacter equi,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,,rod-shaped,1,1.5,0.8,0.8,0.368613538,0.61994095,0.494277244,0.478036219,3.078119592
133403,Acinetobacter larvae,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1789224,coccus-shaped,0.5,1.1,0.2,0.8,0.010471976,0.368613538,0.189542757,0.062129799,0.502654825
130450,Acinetobacter nectaris,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1392540,ovoid-shaped,1.5,1.5,1.5,1.5,1.767145868,1.767145868,1.767145868,1.767145868,7.068583471
158638,Acinetobacter piscicola,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,,rod-shaped,0.9,2.2,0.6,1.2,0.197920337,2.03575204,1.116836188,0.634757221,3.751014267
164465,Acinetobacter pullicarnis,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,2576829,coccus-shaped,1.6,1.8,0.6,0.8,0.301592895,0.603185789,0.452389342,0.426516762,1.507964474
132918,Acinetobacter puyangensis,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1096779,rod-shaped,0.9,0.9,0.6,0.6,0.197920337,0.197920337,0.197920337,0.197920337,1.696460033
134305,Actibacter sediminis,Actibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,449463,rod-shaped,2.8,2.8,0.8,0.8,1.273392222,1.273392222,1.273392222,1.273392222,7.037167544
24522,Actibacterium mucosum,Actibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,1454373,ovoid-shaped,1,1,0.35,0.35,0.06414085,0.06414085,0.06414085,0.06414085,0.3848451
141146,Actibacterium pelagium,Actibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,2029103,rod-shaped,1.5,2.5,0.6,1.2,0.36756634,2.375044046,1.371305193,0.934337331,5.162163489
141055,Actibacterium ureilyticum,Actibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,,rod-shaped,1.5,1.9,0.6,0.8,0.36756634,0.82100288,0.59428461,0.549338715,3.674454901
17007,Actinoallomurus amamiensis,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478109,rod-shaped,1.1,1.1,0.75,0.75,0.375518497,0.375518497,0.375518497,0.375518497,2.591813939
132110,Actinoallomurus caesius,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478115,rod-shaped,1.15,1.15,0.9,0.9,0.540746635,0.540746635,0.540746635,0.540746635,3.251548396
17008,Actinoallomurus coprocola,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478106,rod-shaped,1.1,1.1,0.75,0.75,0.375518497,0.375518497,0.375518497,0.375518497,2.591813939
17010,Actinoallomurus iriomotensis,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478107,rod-shaped,1.15,1.15,0.95,0.95,0.590684869,0.590684869,0.590684869,0.590684869,3.432189974
17011,Actinoallomurus luridus,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478111,rod-shaped,1.1,1.1,0.75,0.75,0.375518497,0.375518497,0.375518497,0.375518497,2.591813939
17012,Actinoallomurus purpureus,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478114,rod-shaped,1.1,1.1,0.75,0.75,0.375518497,0.375518497,0.375518497,0.375518497,2.591813939
17013,Actinoallomurus yoronensis,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478110,rod-shaped,1.1,1.1,0.65,0.65,0.29311714,0.29311714,0.29311714,0.29311714,2.246238747
144,Actinobaculum suis,Actinobaculum,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1657,rod-shaped,1,3,0.5,0.5,0.163624617,0.556323699,0.359974158,0.301708887,2.720699046
7795,Actinocatenispora thailandica,Actinocatenispora,Micromonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,227318,rod-shaped,0.5,1,0.3,0.4,0.028274334,0.108908545,0.06859144,0.05549159,0.769529898
132014,Actinocrinis puniceicyclus,Actinocrinis,Actinospicaceae,Catenulisporales,Actinobacteria,Actinobacteria,Bacteria,977794,filament-shaped,15,25,1,1.5,11.51917306,43.29507376,27.40712341,22.33211695,74.50941199
16999,Actinomadura flavalba,Actinomadura,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,561175,rod-shaped,5,5,0.6,0.6,1.357168026,1.357168026,1.357168026,1.357168026,9.424777961
140372,Actinomyces gaoshouyii,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1960083,rod-shaped,1.1,1.6,0.4,0.6,0.121474916,0.395840674,0.258657795,0.219282267,2.04179355
166249,Actinomyces lilanjuaniae,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,2321394,rod-shaped,1,9,0.4,0.6,0.108908545,2.488141382,1.298524963,0.520557258,4.617179389
192,Actinomyces massiliensis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1167628,rod-shaped,0.5,1.7,0.35,0.74,0.036880989,0.625055463,0.330968226,0.151831036,1.474039826
159350,Actinomyces qiguomingii,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,2057800,rod-shaped,2.1,2.8,0.3,0.5,0.141371669,0.517053791,0.32921273,0.27036412,2.950422187
193,Actinomyces timonensis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,521393,rod-shaped,1,3.2,0.3,0.5,0.063617251,0.595593607,0.329605429,0.194653611,2.176559237
140287,Actinomyces vulturis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1857645,rod-shaped,1,1.3,0.5,0.8,0.163624617,0.519409985,0.341517301,0.29152746,2.26543468
196,Actinomyces weissii,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,675090,rod-shaped,6,6,1.25,1.25,6.851780853,6.851780853,6.851780853,6.851780853,23.5619449
24730,Actinopolyspora mzabensis,Actinopolyspora,Actinopolysporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,995066,rod-shaped,1.45,1.45,0.55,0.55,0.300938396,0.300938396,0.300938396,0.300938396,2.505420141
17634,Actinospica acidiphila,Actinospica,Actinospicaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,304899,rod-shaped,0.6,0.8,0.5,0.5,0.085084801,0.124354709,0.104719755,0.102862509,1.088279619
17635,Actinospica robiniae,Actinospica,Actinospicaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,479430,rod-shaped,1,1.2,0.6,0.6,0.226194671,0.282743339,0.254469005,0.25289333,2.064865395
133962,Actinotalea ferrariae,Actinotalea,Cellulomonadaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,948458,rod-shaped,1.15,1.15,0.45,0.45,0.159043128,0.159043128,0.159043128,0.159043128,1.625774198
158625,Actinotalea solisilvae,Actinotalea,Cellulomonadaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,,rod-shaped,1,1.2,0.6,0.8,0.226194671,0.469144503,0.347669587,0.325757558,2.384301184
133587,Adhaeribacter aerolatus,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,670289,rod-shaped,1.8,2.8,1,1.2,1.151917306,2.714336053,1.93312668,1.768245083,7.72601886
133589,Adhaeribacter aerophilus,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,670288,rod-shaped,2,4.3,0.9,1.1,1.081493271,3.737971659,2.409732465,2.010619605,9.166777617
3764,Adhaeribacter aquaticus,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,299567,rod-shaped,3.45,3.45,1.3,1.3,4.004090737,4.004090737,4.004090737,4.004090737,14.09004305
158784,Adhaeribacter swui,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,,rod-shaped,2,2.5,0.5,1,0.359974158,1.701696021,1.030835089,0.782666335,4.967294133
140958,Adhaeribacter terrae,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,1892554,rod-shaped,1.5,2.3,0.7,0.9,0.48747046,1.272345025,0.879907742,0.787547214,4.6315856
133455,Adhaeribacter terreus,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,529703,rod-shaped,1.5,1.5,0.4,0.4,0.171740398,0.171740398,0.171740398,0.171740398,1.884955592
22982,Adlercreutzia caecicola,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,747645,rod-shaped,1.5,1.5,0.5,0.5,0.261799388,0.261799388,0.261799388,0.261799388,2.35619449
3077,Adlercreutzia caecimuris,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,1235794,rod-shaped,2,2,0.5,0.5,0.359974158,0.359974158,0.359974158,0.359974158,3.141592654
3072,Adlercreutzia equolifaciens subsp. celatus,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,394340,rod-shaped,2.5,2.5,0.45,0.45,0.373751351,0.373751351,0.373751351,0.373751351,3.534291735
3073,Adlercreutzia equolifaciens subsp. equolifaciens,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,446660,ovoid-shaped,2.1,2.1,0.65,0.65,0.464563014,0.464563014,0.464563014,0.464563014,1.327322896
3076,Adlercreutzia mucosicola,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,580026,rod-shaped,2,2,0.5,0.5,0.359974158,0.359974158,0.359974158,0.359974158,3.141592654
140913,Advenella alkanexedens,Advenella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,,coccus-shaped,0.6,0.8,0.6,0.8,0.113097336,0.268082573,0.190589954,0.174124739,1.507964474
383,Advenella kashmirensis,Advenella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,310575,coccus-shaped,1.4,1.4,1.05,1.05,0.80817471,0.80817471,0.80817471,0.80817471,3.463605901
384,Advenella mimigardefordensis,Advenella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1247726,ovoid-shaped,1.5,2,1.5,1.5,1.767145868,2.35619449,2.061670179,2.040524285,7.068583471
160122,Aeoliella mucimassa,Aeoliella,Lacipirellulaceae,Pirellulales,Planctomycetia,Planctomycetes,Bacteria,2527972,other,1.1,1.7,0.6,0.8,,,,,
166411,Aequoribacter fuscus,Aequoribacter,Halieaceae,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,2518989,rod-shaped,1.1,2.8,0.6,0.8,0.254469005,1.273392222,0.763930614,0.569244106,3.819845958
140229,Aequorivita aquimaris,Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,1548749,rod-shaped,1.1,1.7,0.4,0.5,0.121474916,0.301069296,0.211272106,0.191239032,1.921257933
5479,Aequorivita capsosiphonis,Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,487317,rod-shaped,2.5,2.5,0.35,0.35,0.229303539,0.229303539,0.229303539,0.229303539,2.748893572
5477,Aequorivita sublithincola,Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,746697,filament-shaped,0.5,20,0.4,0.5,0.046076692,3.894265894,1.970171293,0.423597558,4.442882938
24014,Aequorivita viscosa,Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,797419,rod-shaped,4.25,4.25,2,2,11.25737368,11.25737368,11.25737368,11.25737368,26.70353756
158560,Aeribacillus composti,Aeribacillus,Bacillaceae,Caryophanales,Bacilli,Firmicutes,Bacteria,,rod-shaped,1.5,5,0.5,0.6,0.261799388,1.357168026,0.809483707,0.596075296,4.71238898
1766,Aeriscardovia aeriphila,Aeriscardovia,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,218139,rod-shaped,1.15,1.15,0.75,0.75,0.39760782,0.39760782,0.39760782,0.39760782,2.709623664
11058,Aeromicrobium alkaliterrae,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,302168,coccus-shaped,1.25,1.25,1.25,1.25,1.022653859,1.022653859,1.022653859,1.022653859,4.908738521
168559,Aeromicrobium endophyticum,Aeromicrobium,Nocardioidaceae,Propionibacteriales,Actinomycetes,Actinomycetota,Bacteria,2292704,rod-shaped,0.9,2.8,0.9,1.2,0.381703507,2.714336053,1.54801978,1.01787602,5.18277101
11064,Aeromicrobium flavum,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,416568,rod-shaped,0.3,1.2,0.2,0.4,0.007330383,0.134041287,0.070685835,0.031346036,0.533145953
11062,Aeromicrobium ginsengisoli,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,363867,coccus-shaped,0.5,1.2,0.3,0.4,0.023561945,0.100530965,0.062046455,0.048669344,0.376991118
11066,Aeromicrobium halocynthiae,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,560557,rod-shaped,4.1,6,0.4,0.5,0.498466034,1.145372322,0.821919178,0.75559857,6.968389603
159668,Aeromicrobium lacus,Aeromicrobium,Nocardioidaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria,2233852,rod-shaped,1.1,1.4,0.5,0.6,0.183259571,0.339292007,0.261275789,0.249356186,2.135358807
11061,Aeromicrobium panaciterrae,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,363861,rod-shaped,1,1.5,0.2,0.4,0.029321531,0.171740398,0.100530965,0.070962606,1.088279619
11065,Aeromicrobium ponti,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,460257,rod-shaped,2.4,2.4,0.7,0.7,0.83383105,0.83383105,0.83383105,0.83383105,5.277875658
11063,Aeromicrobium tamlense,Aeromicrobium,Nocardioidaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,375541,rod-shaped,2.15,2.15,0.5,0.5,0.389426589,0.389426589,0.389426589,0.389426589,3.377212103
23547,Aeromonas australiensis,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1114880,rod-shaped,2.25,2.25,0.85,0.85,1.11598534,1.11598534,1.11598534,1.11598534,6.00829595
280,Aeromonas bivalvium,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,440079,coccus-shaped,0.5,2,0.3,1,0.023561945,1.047197551,0.535379748,0.157079633,0.942477796
