BacDive ID,Species,Genus,Family,Order,Class,Phylum,Domain,NCBI taxonomy ID,Cell shape,LengthMin,LengthMax,WidthMin,WidthMax,VolumeMin,VolumeMax,SurfaceArea,AvgVolume,GeoMeanVolume
23,Acetobacter fabarum,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,483199.0,rod-shaped,1.2,3.0,0.8,0.8,0.4691445029360758,1.3739231871699364,4.768602367582128,0.9215338450530062,0.8028502417743852
22,Acetobacter ghanensis,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,431306.0,rod-shaped,1.5,2.5,0.8,0.8,0.6199409503083859,1.1225957748827529,4.866934411168334,0.8712683625955694,0.8342320369615355
13,Acetobacter malorum,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,178901.0,ellipsoidal,1.1,1.3,0.9,0.9,0.4665265090580843,0.5513495107050087,2.5446900494077327,0.5089380098815465,0.5071677853532207
132413,Acetobacter musti,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,864732.0,coccus-shaped,1.2,1.7,1.2,1.2,0.9047786842338602,1.2817698026646354,4.523893421169302,1.0932742434492477,1.0769020361878807
20,Acetobacter nitrogenifigens,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,1120919.0,rod-shaped,1.5,2.0,0.1,0.2,0.011519173063162575,0.06073745796940267,0.7695298980971185,0.03612831551628262,0.026450808867898773
19,Acetobacter oeni,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,304077.0,rod-shaped,3.6,5.1,0.8,0.9,1.6755160819145563,3.0536280592892786,11.42227098693077,2.3645720706019175,2.2619467105846507
21,Acetobacter senegalensis,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,446692.0,coccus-shaped,1.2,2.0,0.8,0.8,0.40212385965949354,0.6702064327658226,2.0106192982974678,0.5361651462126581,0.5191396705246224
17779,Acetomicrobium hydrogeniformans,Acetomicrobium,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria,592015.0,rod-shaped,1.7,2.7,0.4,0.5,0.19687313962496036,0.49741883681838395,3.0100326975300495,0.34714598822167214,0.312935150011997
17777,Acetomicrobium mobile,Acetomicrobium,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria,97477.0,rod-shaped,2.0,8.0,0.5,1.0,0.35997415822383044,6.021385919380437,8.885765876316732,3.190680038802134,1.4722579012081403
140509,Achromobacter agilis,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1353888.0,rod-shaped,0.9,1.5,0.4,0.7,0.09634217471008699,0.4874704600820162,1.9315047148820987,0.2919063173960516,0.21671170764688302
133323,Achromobacter aloeverae,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1750518.0,rod-shaped,2.5,3.0,0.8,1.2,1.1225957748827529,2.9405307237600464,8.429777677248872,2.0315632493213998,1.8168729637500667
140506,Achromobacter deleyi,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1353891.0,rod-shaped,0.9,2.0,0.4,0.7,0.09634217471008699,0.6798930101143911,2.230309534156422,0.38811759241223903,0.2559343102528608
140507,Achromobacter kerstersii,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1353890.0,rod-shaped,0.9,1.5,0.4,0.7,0.09634217471008699,0.4874704600820162,1.9315047148820987,0.2919063173960516,0.21671170764688302
140508,Achromobacter pestifer,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1353889.0,rod-shaped,0.9,1.5,0.4,0.7,0.09634217471008699,0.4874704600820162,1.9315047148820987,0.2919063173960516,0.21671170764688302
166226,Acidibrevibacterium fodinaquatile,Acidibrevibacterium,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria,1969806.0,rod-shaped,3.2,3.3,1.3,1.5,3.672260012658669,4.948008429403924,14.256047622929437,4.310134221031296,4.2626721076805865
133383,Acidicapsa acidisoli,Acidicapsa,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria,1615681.0,rod-shaped,1.0,1.4,0.7,1.0,0.29504791004964137,0.837758040957278,3.110018056710856,0.5664029755034596,0.4971707544815229
142,Acidicapsa borealis,Acidicapsa,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria,946336.0,rod-shaped,1.0,3.0,0.6,0.9,0.22619467105846514,1.7176657833502196,3.9985946443425293,0.9719302272043424,0.623319217458666
159709,Acidicapsa dinghuensis,Acidicapsa,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria,2218256.0,rod-shaped,0.5,1.5,0.4,0.8,0.0460766922526503,0.6199409503083859,1.539059796194237,0.3330088212805181,0.16901132619494785
143,Acidicapsa ligni,Acidicapsa,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria,542300.0,rod-shaped,1.0,2.0,0.5,0.8,0.16362461737446837,0.8712683625955694,2.8099258924162904,0.5174464899850189,0.3775724466379659
166169,Acidimangrovimonas sediminis,Acidimangrovimonas,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,2056283.0,rod-shaped,2.0,6.0,1.5,2.3,2.650718801466388,21.743224554882755,20.213896759534006,12.19697167817457,7.591783330162508
106,Acidimicrobium ferrooxidans,Acidimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,Bacteria,525909.0,rod-shaped,1.0,1.5,0.35,0.4,0.08498662626429888,0.17174039839624206,1.4396586137792406,0.12836351233027046,0.120812404383752
26,Acidiphilium cryptum,Acidiphilium,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,524.0,rod-shaped,0.6,0.8,0.3,0.4,0.035342917352885174,0.08377580409572784,0.7539822368615504,0.05955936072430651,0.05441398092702654
158421,Acidipropionibacterium virtanenii,Acidipropionibacterium,Propionibacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,2057246.0,rod-shaped,1.0,5.0,0.7,0.7,0.29504791004964137,1.83442831030864,4.917370311728509,1.0647381101791407,0.7356930331955436
82,Acidisoma sibiricum,Acidisoma,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,512383.0,coccus-shaped,1.4,3.1,0.7,1.2,0.35918876006043293,2.3373449342708055,2.6389378290154264,1.3482668471656192,0.9162685352964297
81,Acidisoma tundrae,Acidisoma,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,512382.0,coccus-shaped,1.9,4.1,0.8,1.5,0.6366961111275314,4.830198704894307,3.7699111843077517,2.7334474080109192,1.7536729259983013
67,Acidisphaera rubrifaciens,Acidisphaera,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,50715.0,coccus-shaped,0.8,1.2,0.7,1.0,0.20525072003453315,0.6283185307179585,2.199114857512855,0.41678462537624583,0.3591139524453219
130138,Acidithiobacillus ferridurans,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Proteobacteria,Bacteria,1232575.0,rod-shaped,1.5,1.5,1.5,1.5,1.7671458676442586,1.7671458676442586,7.0685834705770345,1.7671458676442586,1.7671458676442586
159192,Acidithiobacillus sulfuriphilus,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Proteobacteria,Bacteria,1867749.0,rod-shaped,1.5,2.5,0.5,0.5,0.2617993877991494,0.45814892864851153,3.041834006980209,0.3599741582238305,0.34632803675275337
133033,Acidobacterium ailaaui,Acidobacterium,Acidobacteriaceae,Actinomycetales,Acidobacteriia,Acidobacteria,Bacteria,1382359.0,rod-shaped,1.3,1.7,0.7,0.9,0.4105014400690663,0.8906415172927064,3.706946210513003,0.6505714786808863,0.6046566177872812
133532,Acidocella aluminiidurans,Acidocella,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,472056.0,rod-shaped,1.4,1.4,0.3,0.3,0.09189158511750144,0.09189158511750144,1.319468914507713,0.09189158511750144,0.09189158511750144
158255,Acidocella aquatica,Acidocella,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,1922313.0,rod-shaped,1.0,2.8,0.6,0.8,0.22619467105846514,1.2733922222550629,3.6420802180984557,0.749793446656764,0.5366884895741587
2903,Acidovorax caeni,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,343013.0,rod-shaped,1.8,1.8,0.9,0.9,0.9542587685278998,0.9542587685278998,5.089380098815465,0.9542587685278998,0.9542587685278998
158808,Acidovorax kalamii,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,,rod-shaped,2.0,2.8,0.71,0.76,0.6981375476507258,1.1552850936409056,5.461096574410287,0.9267113206458157,0.898080120096142
2905,Acidovorax radicis,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,999386.0,rod-shaped,1.5,2.0,0.3,0.5,0.09896016858807848,0.35997415822383044,2.107444419312218,0.22946716340595447,0.1887408365595053
2904,Acidovorax soli,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,592050.0,rod-shaped,1.3,1.3,0.5,0.5,0.222529479629277,0.222529479629277,2.0420352248333655,0.222529479629277,0.222529479629277
23868,Acidovorax wautersii,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1177982.0,rod-shaped,3.0,3.0,0.45,0.45,0.45327291505075235,0.45327291505075235,4.241150082346221,0.45327291505075235,0.45327291505075235
130449,Acinetobacter boissieri,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1219383.0,ovoid-shaped,1.5,1.5,1.5,1.5,1.7671458676442586,1.7671458676442586,7.0685834705770345,1.7671458676442586,1.7671458676442586
140606,Acinetobacter defluvii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1871111.0,coccus-shaped,0.7,1.0,0.6,0.9,0.13194689145077126,0.42411500823462206,1.6964600329384885,0.27803094984269666,0.23656004936205233
140912,Acinetobacter equi,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,,rod-shaped,1.0,1.5,0.8,0.8,0.3686135380212024,0.6199409503083859,3.078119592388474,0.4942772441647941,0.47803621939911684
133403,Acinetobacter larvae,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1789224.0,coccus-shaped,0.5,1.1,0.2,0.8,0.010471975511965978,0.36861353802120245,0.5026548245743669,0.18954275676658422,0.062129799158995934
130450,Acinetobacter nectaris,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1392540.0,ovoid-shaped,1.5,1.5,1.5,1.5,1.7671458676442586,1.7671458676442586,7.0685834705770345,1.7671458676442586,1.7671458676442586
158638,Acinetobacter piscicola,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,,rod-shaped,0.9,2.2,0.6,1.2,0.19792033717615695,2.0357520395261863,3.7510142673939524,1.1168361883511717,0.6347572213611059
164465,Acinetobacter pullicarnis,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,2576829.0,coccus-shaped,1.6,1.8,0.6,0.8,0.3015928947446201,0.6031857894892404,1.5079644737231008,0.45238934211693027,0.42651676206320316
132918,Acinetobacter puyangensis,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1096779.0,rod-shaped,0.9,0.9,0.6,0.6,0.19792033717615695,0.19792033717615695,1.6964600329384882,0.19792033717615695,0.19792033717615695
134305,Actibacter sediminis,Actibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,449463.0,rod-shaped,2.8,2.8,0.8,0.8,1.2733922222550629,1.2733922222550629,7.037167544041136,1.2733922222550629,1.2733922222550629
24522,Actibacterium mucosum,Actibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,1454373.0,ovoid-shaped,1.0,1.0,0.35,0.35,0.0641408500107916,0.0641408500107916,0.38484510006474965,0.0641408500107916,0.0641408500107916
141146,Actibacterium pelagium,Actibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,2029103.0,rod-shaped,1.5,2.5,0.6,1.2,0.3675663404700058,2.3750440461138838,5.162163488590928,1.3713051932919447,0.9343373312060029
141055,Actibacterium ureilyticum,Actibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,,rod-shaped,1.5,1.9,0.6,0.8,0.3675663404700058,0.8210028801381326,3.6744549011642857,0.5942846103040692,0.5493387153366384
17007,Actinoallomurus amamiensis,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478109.0,rod-shaped,1.1,1.1,0.75,0.75,0.375518496874405,0.375518496874405,2.5918139392115793,0.375518496874405,0.375518496874405
132110,Actinoallomurus caesius,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478115.0,rod-shaped,1.15,1.15,0.9,0.9,0.5407466354991431,0.5407466354991431,3.2515483964654357,0.5407466354991431,0.5407466354991431
17008,Actinoallomurus coprocola,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478106.0,rod-shaped,1.1,1.1,0.75,0.75,0.375518496874405,0.375518496874405,2.5918139392115793,0.375518496874405,0.375518496874405
17010,Actinoallomurus iriomotensis,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478107.0,rod-shaped,1.15,1.15,0.95,0.95,0.5906848687218308,0.5906848687218308,3.4321899740468487,0.5906848687218308,0.5906848687218308
17011,Actinoallomurus luridus,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478111.0,rod-shaped,1.1,1.1,0.75,0.75,0.375518496874405,0.375518496874405,2.5918139392115793,0.375518496874405,0.375518496874405
17012,Actinoallomurus purpureus,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478114.0,rod-shaped,1.1,1.1,0.75,0.75,0.375518496874405,0.375518496874405,2.5918139392115793,0.375518496874405,0.375518496874405
17013,Actinoallomurus yoronensis,Actinoallomurus,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,478110.0,rod-shaped,1.1,1.1,0.65,0.65,0.2931171395646227,0.2931171395646227,2.2462387473167023,0.2931171395646227,0.2931171395646227
144,Actinobaculum suis,Actinobaculum,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1657.0,rod-shaped,1.0,3.0,0.5,0.5,0.16362461737446837,0.5563236990731926,2.7206990463513265,0.3599741582238305,0.3017088868382899
7795,Actinocatenispora thailandica,Actinocatenispora,Micromonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,227318.0,rod-shaped,0.5,1.0,0.3,0.4,0.028274333882308142,0.10890854532444617,0.7695298980971185,0.06859143960337716,0.05549159011183479
132014,Actinocrinis puniceicyclus,Actinocrinis,Actinospicaceae,Catenulisporales,Actinobacteria,Actinobacteria,Bacteria,977794.0,filament-shaped,15.0,25.0,1.0,1.5,11.519173063162574,43.295073757284335,74.50941199347075,27.407123410223456,22.332116948299966
16999,Actinomadura flavalba,Actinomadura,Thermomonosporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,561175.0,rod-shaped,5.0,5.0,0.6,0.6,1.3571680263507908,1.3571680263507908,9.42477796076938,1.3571680263507908,1.3571680263507908
140372,Actinomyces gaoshouyii,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1960083.0,rod-shaped,1.1,1.6,0.4,0.6,0.12147491593880536,0.3958406743523139,2.041793549558854,0.25865779514555964,0.21928226704890516
166249,Actinomyces lilanjuaniae,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,2321394.0,rod-shaped,1.0,9.0,0.4,0.6,0.10890854532444617,2.4881413816431164,4.61717938858271,1.2985249634837812,0.5205572575964237
192,Actinomyces massiliensis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1167628.0,rod-shaped,0.5,1.7,0.35,0.74,0.03688098875620517,0.62505546314843,1.4740398260901306,0.33096822595231756,0.15183103605120352
159350,Actinomyces qiguomingii,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,2057800.0,rod-shaped,2.1,2.8,0.3,0.5,0.1413716694115407,0.5170537909033202,2.950422187037105,0.3292127301574304,0.270364120392422
193,Actinomyces timonensis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,521393.0,rod-shaped,1.0,3.2,0.3,0.5,0.06361725123519331,0.595593607243065,2.1765592370810616,0.32960542923912917,0.19465361066791728
140287,Actinomyces vulturis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1857645.0,rod-shaped,1.0,1.3,0.5,0.8,0.16362461737446837,0.5194099853935125,2.2654346798277953,0.3415173013839904,0.2915274603197642
196,Actinomyces weissii,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,675090.0,rod-shaped,6.0,6.0,1.25,1.25,6.851780852555864,6.851780852555864,23.561944901923447,6.851780852555864,6.851780852555864
24730,Actinopolyspora mzabensis,Actinopolyspora,Actinopolysporaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,995066.0,rod-shaped,1.45,1.45,0.55,0.55,0.3009383962751223,0.3009383962751223,2.50542014123786,0.3009383962751223,0.3009383962751223
17634,Actinospica acidiphila,Actinospica,Actinospicaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,304899.0,rod-shaped,0.6,0.8,0.5,0.5,0.08508480103472356,0.12435470920459597,1.0882796185405308,0.10471975511965977,0.10286250867251856
17635,Actinospica robiniae,Actinospica,Actinospicaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,479430.0,rod-shaped,1.0,1.2,0.6,0.6,0.22619467105846514,0.2827433388230814,2.0648653954363714,0.2544690049407733,0.2528933303174662
133962,Actinotalea ferrariae,Actinotalea,Cellulomonadaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,948458.0,rod-shaped,1.15,1.15,0.45,0.45,0.1590431280879833,0.1590431280879833,1.6257741982327178,0.1590431280879833,0.1590431280879833
158625,Actinotalea solisilvae,Actinotalea,Cellulomonadaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,,rod-shaped,1.0,1.2,0.6,0.8,0.22619467105846514,0.4691445029360758,2.384301183791064,0.34766958699727046,0.3257575578870163
133587,Adhaeribacter aerolatus,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,670289.0,rod-shaped,1.8,2.8,1.0,1.2,1.1519173063162575,2.714336052701581,7.726018859528394,1.9331266795089195,1.768245083201169
133589,Adhaeribacter aerophilus,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,670288.0,rod-shaped,2.0,4.3,0.9,1.1,1.0814932709982865,3.737971658996256,9.166777616527783,2.4097324649972713,2.010619605093602
3764,Adhaeribacter aquaticus,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,299567.0,rod-shaped,3.45,3.45,1.3,1.3,4.004090736694091,4.004090736694091,14.090043051350223,4.004090736694091,4.004090736694091
158784,Adhaeribacter swui,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,,rod-shaped,2.0,2.5,0.5,1.0,0.35997415822383044,1.7016960206944711,4.967294132898051,1.0308350894591507,0.7826663354216369
140958,Adhaeribacter terrae,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,1892554.0,rod-shaped,1.5,2.3,0.7,0.9,0.4874704600820162,1.2723450247038663,4.631585599529357,0.8799077423929413,0.7875472141881134
133455,Adhaeribacter terreus,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,529703.0,rod-shaped,1.5,1.5,0.4,0.4,0.17174039839624206,0.17174039839624206,1.8849555921538759,0.17174039839624206,0.17174039839624206
22982,Adlercreutzia caecicola,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,747645.0,rod-shaped,1.5,1.5,0.5,0.5,0.2617993877991494,0.2617993877991494,2.356194490192345,0.2617993877991494,0.2617993877991494
3077,Adlercreutzia caecimuris,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,1235794.0,rod-shaped,2.0,2.0,0.5,0.5,0.35997415822383044,0.35997415822383044,3.141592653589793,0.35997415822383044,0.35997415822383044
3072,Adlercreutzia equolifaciens subsp. celatus,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,394340.0,rod-shaped,2.5,2.5,0.45,0.45,0.37375135100676066,0.37375135100676066,3.5342917352885173,0.37375135100676066,0.37375135100676066
3073,Adlercreutzia equolifaciens subsp. equolifaciens,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,446660.0,ovoid-shaped,2.1,2.1,0.65,0.65,0.4645630136495907,0.4645630136495907,1.3273228961416876,0.4645630136495907,0.4645630136495907
3076,Adlercreutzia mucosicola,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,580026.0,rod-shaped,2.0,2.0,0.5,0.5,0.35997415822383044,0.35997415822383044,3.141592653589793,0.35997415822383044,0.35997415822383044
140913,Advenella alkanexedens,Advenella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,,coccus-shaped,0.6,0.8,0.6,0.8,0.11309733552923253,0.26808257310632905,1.5079644737231008,0.19058995431778078,0.1741247389664849
383,Advenella kashmirensis,Advenella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,310575.0,coccus-shaped,1.4,1.4,1.05,1.05,0.8081747101359743,0.8081747101359743,3.463605900582747,0.8081747101359743,0.8081747101359743
384,Advenella mimigardefordensis,Advenella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1247726.0,ovoid-shaped,1.5,2.0,1.5,1.5,1.7671458676442586,2.356194490192345,7.0685834705770345,2.061670178918302,2.040524284763495
160122,Aeoliella mucimassa,Aeoliella,Lacipirellulaceae,Pirellulales,Planctomycetia,Planctomycetes,Bacteria,2527972.0,other,1.1,1.7,0.6,0.8,0.2544690049407733,0.7204719152232592,2.976399991670778,0.4874704600820162,0.4281796017498217
166411,Aequoribacter fuscus,Aequoribacter,Halieaceae,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,2518989.0,rod-shaped,1.1,2.8,0.6,0.8,0.2544690049407733,1.2733922222550629,3.819845958487136,0.763930613597918,0.5692441055439801
140229,Aequorivita aquimaris,Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,1548749.0,rod-shaped,1.1,1.7,0.4,0.5,0.12147491593880536,0.3010692959690218,1.9212579332321365,0.2112721059539136,0.19123903215502905
5479,Aequorivita capsosiphonis,Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,487317.0,rod-shaped,2.5,2.5,0.35,0.35,0.22930353878858,0.22930353878858,2.748893571891069,0.22930353878858,0.22930353878858
